ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
105,423977.107557,563843.135329,423989.493872,563852.00382,3.8549998,4,103,15.233875,102,4,15.233875,14773,1411.0513,8597,52378.258,0.883522496627176,1.00472840119022
106,423970.787121,563856.756313,423977.107557,563843.135329,3.2628267,4,104,15.015962,103,4,15.015962,75828,1419.1432,8597,52079.598,1.03458836551133,1.01048997909532
195,422253.780952,565451.393414,422356.973125,565401.627604,3.1248355,4,186,114.56553,185,4,114.56553,22953,1214.1044,8597,60874.84,0.911463169236025,0.86449843445013
196,422356.973125,565401.627604,422447.361055,565412.994273,1.7527218,3,187,91.099831,186,3,91.099831,17996,1202.2365,8597,61475.77,0.888587247247353,0.856048176019902
197,422447.361055,565412.994273,422511.586594,565479.895256,2.3719904,3,188,92.739754,187,3,92.739754,23530,1232.5452,8597,59964.055,0.914968656626236,0.877628733026894
198,422511.586594,565479.895256,422519.605179,565551.078394,4.0259829,5,189,71.633347,188,5,71.633347,37242,1308.2776,8597,56492.91,0.961916729038451,0.931551760579334
212,421535.965755,565502.712279,421586.515452,565598.295939,2.8648982,5,203,108.12727,202,5,108.12727,1354908,1481.235,8597,49896.477,1.3051904719943,1.05470018402107
213,421586.515452,565598.295939,421602.568636,565627.350995,2.2486477,4,204,33.194893,203,4,33.194893,1344584,1480.338,8597,49926.711,1.30441036834112,1.05406151731558
214,421602.568636,565627.350995,421622.720586,565666.496888,2.8733153,5,205,44.028423,204,5,44.028423,1336123,1478.6647,8597,49983.211,1.30369057976356,1.05287007539632
243,422982.950573,564415.897952,423017.669145,564406.293362,1.9643614,4,233,36.022594,232,4,36.022594,12319020,1725.939,8597,42822.145,1.5308802314833,1.22893131606646
244,423017.669145,564406.293362,423069.08761,564393.213434,2.051415,4,234,53.056038,233,4,53.056038,12349327,1726.8024,8597,42800.734,1.53118242749349,1.22954605830252
245,423069.08761,564393.213434,423113.45485,564382.718639,2.960685,5,235,45.591587,234,5,45.591587,12171520,1727.4618,8597,42784.395,1.52987727197406,1.23001558963477
246,423113.45485,564382.718639,423134.877589,564377.626075,3.0593815,5,236,22.019718,235,5,22.019718,12209891,1727.4049,8597,42785.805,1.53016770153304,1.22997505654406
247,423134.877589,564377.626075,423159.878901,564371.884304,2.930716,5,237,25.652164,236,5,25.652164,12214348,1727.6604,8597,42779.477,1.53022314823783,1.23015698766714
248,423159.878901,564371.884304,423216.924004,564359.018586,2.9212043,5,238,58.477947,237,5,58.477947,12345484,1727.5654,8597,42781.828,1.53121667549452,1.23008938971686
249,423216.924004,564359.018586,423256.699724,564349.608801,1.7660838,4,239,40.873611,238,4,40.873611,12241567,1726.8591,8597,42799.328,1.53036531435419,1.22958644821186
250,423256.699724,564349.608801,423287.752619,564342.257535,2.0330911,4,240,31.91118,239,4,31.91118,12239168,1726.7926,8597,42800.977,1.53034140782508,1.22953907795411
251,423287.752619,564342.257535,423313.298233,564335.311989,2.591536,4,241,26.472986,240,4,26.472986,12158939,1726.9323,8597,42797.516,1.52973631101889,1.22963850512401
252,423313.298233,564335.311989,423340.884867,564326.09584,2.119437,4,242,29.085388,241,4,29.085388,12449936,1731.8373,8597,42676.301,1.53236159281984,1.23313092698491
253,423340.884867,564326.09584,423363.558923,564321.767563,2.192409,5,243,23.083473,242,5,23.083473,12450701,1735.5229,8597,42585.672,1.53267294932974,1.23575510007382
254,423363.558923,564321.767563,423488.667431,564280.859043,3.3081579,5,244,131.62692,243,5,131.62692,12464482,1738.6101,8597,42510.055,1.5330323129719,1.2379531611509
255,423488.667431,564280.859043,423523.791667,564271.204798,2.8106675,4,245,36.426865,244,4,36.426865,10782320,1715.6644,8597,43078.594,1.51753765532052,1.22161576681768
256,423523.791667,564271.204798,423617.231171,564243.761343,1.4434202,4,246,97.386261,245,4,97.386261,10787064,1715.8319,8597,43074.387,1.51759276674341,1.22173507435224
257,423617.231171,564243.761343,423737.96288,564207.616406,2.2960305,4,247,126.0262,246,4,126.0262,10761679,1715.6128,8597,43079.891,1.51735380379026,1.22157898951722
258,423737.96288,564207.616406,423763.39006,564200.338912,2.2730103,4,248,26.448128,247,4,26.448128,10755303,1715.4968,8597,43082.801,1.51728866120969,1.22149648258259
263,424148.816373,563512.198842,424178.276681,563552.8892,8.0169363,9,253,50.235596,252,9,50.235596,14151,1642.2328,8597,45004.832,0.892018232330274,1.169332088832
359,423971.771428,563408.837477,424081.080456,563447.093822,6.486692,7,348,115.81024,347,7,115.81024,751097,1477.578,8597,50019.973,1.25036915698426,1.052096303244
