Longitude,Latitude,count,BNumber,SNumber,BDist,SDist,BName,SName,Loc,id,gradient,INT,BusDist,BusName,SchDist,SchName,RName,RDist,PubName,PubDist,GName,GDist
-1.653566,54.970126,3,2,4,45.689,41.784,Hi Lite,Georgia's Filipino & Oriental Food Supply,Axbridge Gardens,71,7.4465008675535,1156.4017,78.504,n502591901,198.353,n458702923,Tony's Kit,68.922,Benwell Sp,178.949,0295ED1B-8,258.44
-1.653305,54.978609,7,0,0,286.734,207.876,Sab's Men's Hair Designs,Fenham Continental Foodstore,Hadrian Road,72,0,1328.6764,141.653,n502591878,239.894,n402667502,Little Ist,313.856,,454.856,0295ED1B-6,346.436
-1.653233,54.979768,10,0,0,337.2,253.225,Sab's Men's Hair Designs,Narang's News 'n' Booze,Sutherland Avenue,73,0,1264.8774,194.851,n502582189,300.355,n402667502,Little Ist,442.522,,576.613,0295ED1B-6,413.869
-1.653059,54.972713,8,0,2,292.038,117.902,Barber Ahmad,Večerka,Fairholm Road,74,3.39875945279973,1427.2242,302.828,n502591850,291.441,n459078620,Pinar,320.393,,267.832,0295ED1B-6,196.526
-1.652765,54.965182,2,0,0,484.63,345.599,Legends Barber Shop,Premier,Isabella Close,76,0,1025.8766,135.099,n502591951,278.248,n402667460,Tony's Kit,491.979,Benwell Sp,636.114,0295ECD9-E,167.592
-1.652597,54.970124,5,2,3,96.62,91.429,Legends Barber Shop,Georgia's Filipino & Oriental Food Supply,Brancepeth Avenue,77,7.74464389114071,1157.4606,116.808,n502591898,260.4,n458702923,Tony's Kit,107.905,Benwell Sp,239.58,0295ED1B-8,295.176
-1.65241,54.971992,6,0,1,263.747,193.906,Hi Lite,Večerka,Normount Road,78,7.88505344314,1222.4678,290.44,n502591901,323.212,n459078620,Tony's Kit,289.438,Benwell Sp,296.165,0295ED1B-6,282.891
-1.652326,54.978103,16,0,1,216.301,133.693,Sab's Men's Hair Designs,Fenham Continental Foodstore,Gowland Avenue,79,1.05293733207465,1488.8866,77.866,n502591878,167.288,n402667502,Little Ist,275.376,,382.6,0295ED1B-6,392.36
-1.652215,54.974616,17,5,4,78.688,82.319,Barber Ahmad,Northeast Halal Food Store,Benwell Grove,80,2.33527939949958,1435.1031,94.729,n502591850,406.95,n402667502,Pinar,102.741,,86.905,0295ED1B-6,78.696
-1.652032,54.974121,4,3,4,135.011,138.561,Barber Ahmad,Northeast Halal Food Store,Normount Avenue,81,0,1228.7966,139.634,n502591849,417.62,n459078620,Pinar,157.541,,102.917,0295ED1B-6,96.609
-1.651902,54.97466,5,5,4,80.131,85.777,Barber Ahmad,Northeast Halal Food Store,Normount Gardens,82,0,1229.8054,80.995,n502591849,394.929,n402667502,Pinar,98.195,,66.297,0295ED1B-6,99.324
-1.65166,54.970121,3,2,3,144.982,148.564,Legends Barber Shop,Georgia's Filipino & Oriental Food Supply,Coventry Gardens,83,7.38221032061953,1174.4835,91.754,n502591898,277.373,n459079974,Tony's Kit,160.06,Benwell Sp,298.784,0295ECF0-2,295.685
-1.651504,54.977337,3,1,1,179.453,107.466,Sab's Men's Hair Designs,Fenham Continental Foodstore,Milvain Avenue,84,1.42748382185002,1432.0499,103.973,n502591880,134.595,n402667502,Pinar,203.932,,288.756,0295ED1B-6,342.233
-1.65149,54.964513,5,0,0,572.777,433.907,Legends Barber Shop,Premier,Amelia Walk,85,0,1166.916,196.661,n502591951,381.269,n402667460,Tony's Kit,582.306,Benwell Sp,736.333,0295ECD9-E,136.744
-1.651239,54.980876,1,0,0,351.691,227.313,Sab's Men's Hair Designs,Medina Food Store,Nuns Moor Crescent,86,2.7012987012987,1273.442,214.832,n502580634,213.987,,Little Ist,589.75,,680.376,0295ECF0-2,424.847
-1.651223,54.979106,1,1,1,190.258,140.182,Sab's Men's Hair Designs,Fenham Continental Foodstore,Hall Avenue,87,0,1185.1056,89.848,n502591878,158.069,n402667502,Pinar,401.263,,483.437,0295ECF0-2,399.362
-1.651207,54.979214,4,1,1,197.476,150.626,Sab's Men's Hair Designs,Fenham Continental Foodstore,Severus Road,88,0.1999600079984,1336.1687,101.824,n502591878,167.191,n402667502,Pinar,413.313,,495.404,0295ECF0-2,397.097
-1.651185,54.972663,6,0,0,305.503,235.506,Barber Ahmad,Večerka,Cliftonville Avenue,89,0,1108.1476,294.564,n502591849,301.488,n459079974,Pinar,324.96,,235.119,0295ED1B-6,246.406
-1.650777,54.965688,1,0,0,463.184,329.316,Legends Barber Shop,Premier,Joseph Close,90,0,1102.5411,93.288,n502591951,308.378,n402667460,Tony's Kit,475.428,Benwell Sp,643.554,0295ECD9-E,42.512
-1.650739,54.970118,1,1,0,198.803,204.054,Legends Barber Shop,Sami Swoi - Polish Convenience & Butcher,Dipton Avenue,91,7.31261425959781,1179.3955,96.964,n502591897,222.565,n459079974,Tony's Kit,215.347,Benwell Sp,357.24,0295ECF0-2,283.991
