Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01008297,Newcastle upon Tyne 011B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9
E01008297,Newcastle upon Tyne 011B,2,"Asian, Asian British or Asian Welsh: Chinese",37
E01008297,Newcastle upon Tyne 011B,3,"Asian, Asian British or Asian Welsh: Indian",37
E01008297,Newcastle upon Tyne 011B,4,"Asian, Asian British or Asian Welsh: Pakistani",43
E01008297,Newcastle upon Tyne 011B,5,"Asian, Asian British or Asian Welsh: Other Asian",40
E01008297,Newcastle upon Tyne 011B,6,"Black, Black British, Black Welsh, Caribbean or African: African",31
E01008297,Newcastle upon Tyne 011B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E01008297,Newcastle upon Tyne 011B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3
E01008297,Newcastle upon Tyne 011B,9,Mixed or Multiple ethnic groups: White and Asian,17
E01008297,Newcastle upon Tyne 011B,10,Mixed or Multiple ethnic groups: White and Black African,6
E01008297,Newcastle upon Tyne 011B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1
E01008297,Newcastle upon Tyne 011B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12
E01008297,Newcastle upon Tyne 011B,13,"White: English, Welsh, Scottish, Northern Irish or British",1551
E01008297,Newcastle upon Tyne 011B,14,White: Irish,5
E01008297,Newcastle upon Tyne 011B,15,White: Gypsy or Irish Traveller,4
E01008297,Newcastle upon Tyne 011B,16,White: Roma,12
E01008297,Newcastle upon Tyne 011B,17,White: Other White,109
E01008297,Newcastle upon Tyne 011B,18,Other ethnic group: Arab,13
E01008297,Newcastle upon Tyne 011B,19,Other ethnic group: Any other ethnic group,26
E01008298,Newcastle upon Tyne 011C,-8,Does not apply,0
E01008298,Newcastle upon Tyne 011C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3
E01008298,Newcastle upon Tyne 011C,2,"Asian, Asian British or Asian Welsh: Chinese",49
E01008298,Newcastle upon Tyne 011C,3,"Asian, Asian British or Asian Welsh: Indian",26
E01008298,Newcastle upon Tyne 011C,4,"Asian, Asian British or Asian Welsh: Pakistani",20
E01008298,Newcastle upon Tyne 011C,5,"Asian, Asian British or Asian Welsh: Other Asian",11
E01008298,Newcastle upon Tyne 011C,6,"Black, Black British, Black Welsh, Caribbean or African: African",29
E01008298,Newcastle upon Tyne 011C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008298,Newcastle upon Tyne 011C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4
E01008298,Newcastle upon Tyne 011C,9,Mixed or Multiple ethnic groups: White and Asian,12
E01008298,Newcastle upon Tyne 011C,10,Mixed or Multiple ethnic groups: White and Black African,6
E01008298,Newcastle upon Tyne 011C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5
E01008298,Newcastle upon Tyne 011C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5
E01008298,Newcastle upon Tyne 011C,13,"White: English, Welsh, Scottish, Northern Irish or British",1603
E01008298,Newcastle upon Tyne 011C,14,White: Irish,6
E01008298,Newcastle upon Tyne 011C,15,White: Gypsy or Irish Traveller,0
E01008298,Newcastle upon Tyne 011C,16,White: Roma,2
E01008298,Newcastle upon Tyne 011C,17,White: Other White,118
E01008298,Newcastle upon Tyne 011C,18,Other ethnic group: Arab,16
E01008298,Newcastle upon Tyne 011C,19,Other ethnic group: Any other ethnic group,23
E01008299,Newcastle upon Tyne 011D,-8,Does not apply,0
E01008299,Newcastle upon Tyne 011D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",12
E01008299,Newcastle upon Tyne 011D,2,"Asian, Asian British or Asian Welsh: Chinese",6
E01008299,Newcastle upon Tyne 011D,3,"Asian, Asian British or Asian Welsh: Indian",18
E01008299,Newcastle upon Tyne 011D,4,"Asian, Asian British or Asian Welsh: Pakistani",11
E01008299,Newcastle upon Tyne 011D,5,"Asian, Asian British or Asian Welsh: Other Asian",14
E01008299,Newcastle upon Tyne 011D,6,"Black, Black British, Black Welsh, Caribbean or African: African",15
E01008299,Newcastle upon Tyne 011D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008299,Newcastle upon Tyne 011D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
E01008299,Newcastle upon Tyne 011D,9,Mixed or Multiple ethnic groups: White and Asian,5
E01008299,Newcastle upon Tyne 011D,10,Mixed or Multiple ethnic groups: White and Black African,6
E01008299,Newcastle upon Tyne 011D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E01008299,Newcastle upon Tyne 011D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4
E01008299,Newcastle upon Tyne 011D,13,"White: English, Welsh, Scottish, Northern Irish or British",1217
E01008299,Newcastle upon Tyne 011D,14,White: Irish,1
E01008299,Newcastle upon Tyne 011D,15,White: Gypsy or Irish Traveller,3
E01008299,Newcastle upon Tyne 011D,16,White: Roma,2
E01008299,Newcastle upon Tyne 011D,17,White: Other White,40
E01008299,Newcastle upon Tyne 011D,18,Other ethnic group: Arab,14
E01008299,Newcastle upon Tyne 011D,19,Other ethnic group: Any other ethnic group,14
E01008300,Newcastle upon Tyne 016A,-8,Does not apply,0
E01008300,Newcastle upon Tyne 016A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",35
E01008300,Newcastle upon Tyne 016A,2,"Asian, Asian British or Asian Welsh: Chinese",52
E01008300,Newcastle upon Tyne 016A,3,"Asian, Asian British or Asian Welsh: Indian",68
E01008300,Newcastle upon Tyne 016A,4,"Asian, Asian British or Asian Welsh: Pakistani",36
E01008300,Newcastle upon Tyne 016A,5,"Asian, Asian British or Asian Welsh: Other Asian",65
E01008300,Newcastle upon Tyne 016A,6,"Black, Black British, Black Welsh, Caribbean or African: African",92
E01008300,Newcastle upon Tyne 016A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008300,Newcastle upon Tyne 016A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9
E01008300,Newcastle upon Tyne 016A,9,Mixed or Multiple ethnic groups: White and Asian,13
E01008300,Newcastle upon Tyne 016A,10,Mixed or Multiple ethnic groups: White and Black African,6
E01008300,Newcastle upon Tyne 016A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6
E01008300,Newcastle upon Tyne 016A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,16
E01008300,Newcastle upon Tyne 016A,13,"White: English, Welsh, Scottish, Northern Irish or British",1492
E01008300,Newcastle upon Tyne 016A,14,White: Irish,6
E01008300,Newcastle upon Tyne 016A,15,White: Gypsy or Irish Traveller,0
E01008300,Newcastle upon Tyne 016A,16,White: Roma,0
E01008300,Newcastle upon Tyne 016A,17,White: Other White,62
E01008300,Newcastle upon Tyne 016A,18,Other ethnic group: Arab,37
E01008300,Newcastle upon Tyne 016A,19,Other ethnic group: Any other ethnic group,56
E01008301,Newcastle upon Tyne 040D,-8,Does not apply,0
E01008301,Newcastle upon Tyne 040D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4
E01008301,Newcastle upon Tyne 040D,2,"Asian, Asian British or Asian Welsh: Chinese",10
E01008301,Newcastle upon Tyne 040D,3,"Asian, Asian British or Asian Welsh: Indian",5
E01008301,Newcastle upon Tyne 040D,4,"Asian, Asian British or Asian Welsh: Pakistani",6
E01008301,Newcastle upon Tyne 040D,5,"Asian, Asian British or Asian Welsh: Other Asian",19
E01008301,Newcastle upon Tyne 040D,6,"Black, Black British, Black Welsh, Caribbean or African: African",90
E01008301,Newcastle upon Tyne 040D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E01008301,Newcastle upon Tyne 040D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8
E01008301,Newcastle upon Tyne 040D,9,Mixed or Multiple ethnic groups: White and Asian,15
E01008301,Newcastle upon Tyne 040D,10,Mixed or Multiple ethnic groups: White and Black African,17
E01008301,Newcastle upon Tyne 040D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E01008301,Newcastle upon Tyne 040D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,49
E01008301,Newcastle upon Tyne 040D,13,"White: English, Welsh, Scottish, Northern Irish or British",1241
E01008301,Newcastle upon Tyne 040D,14,White: Irish,8
E01008301,Newcastle upon Tyne 040D,15,White: Gypsy or Irish Traveller,1
E01008301,Newcastle upon Tyne 040D,16,White: Roma,0
E01008301,Newcastle upon Tyne 040D,17,White: Other White,128
E01008301,Newcastle upon Tyne 040D,18,Other ethnic group: Arab,2
E01008301,Newcastle upon Tyne 040D,19,Other ethnic group: Any other ethnic group,20
E01008302,Newcastle upon Tyne 035D,-8,Does not apply,0
E01008302,Newcastle upon Tyne 035D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4
E01008302,Newcastle upon Tyne 035D,2,"Asian, Asian British or Asian Welsh: Chinese",3
E01008302,Newcastle upon Tyne 035D,3,"Asian, Asian British or Asian Welsh: Indian",9
E01008302,Newcastle upon Tyne 035D,4,"Asian, Asian British or Asian Welsh: Pakistani",24
E01008302,Newcastle upon Tyne 035D,5,"Asian, Asian British or Asian Welsh: Other Asian",17
E01008302,Newcastle upon Tyne 035D,6,"Black, Black British, Black Welsh, Caribbean or African: African",147
E01008302,Newcastle upon Tyne 035D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008302,Newcastle upon Tyne 035D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
E01008302,Newcastle upon Tyne 035D,9,Mixed or Multiple ethnic groups: White and Asian,14
E01008302,Newcastle upon Tyne 035D,10,Mixed or Multiple ethnic groups: White and Black African,33
E01008302,Newcastle upon Tyne 035D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9
E01008302,Newcastle upon Tyne 035D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,22
E01008302,Newcastle upon Tyne 035D,13,"White: English, Welsh, Scottish, Northern Irish or British",1190
E01008302,Newcastle upon Tyne 035D,14,White: Irish,5
E01008302,Newcastle upon Tyne 035D,15,White: Gypsy or Irish Traveller,0
E01008302,Newcastle upon Tyne 035D,16,White: Roma,1
E01008302,Newcastle upon Tyne 035D,17,White: Other White,124
E01008302,Newcastle upon Tyne 035D,18,Other ethnic group: Arab,9
E01008302,Newcastle upon Tyne 035D,19,Other ethnic group: Any other ethnic group,12
E01008303,Newcastle upon Tyne 018A,-8,Does not apply,0
E01008303,Newcastle upon Tyne 018A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3
E01008303,Newcastle upon Tyne 018A,2,"Asian, Asian British or Asian Welsh: Chinese",20
E01008303,Newcastle upon Tyne 018A,3,"Asian, Asian British or Asian Welsh: Indian",88
E01008303,Newcastle upon Tyne 018A,4,"Asian, Asian British or Asian Welsh: Pakistani",11
E01008303,Newcastle upon Tyne 018A,5,"Asian, Asian British or Asian Welsh: Other Asian",12
E01008303,Newcastle upon Tyne 018A,6,"Black, Black British, Black Welsh, Caribbean or African: African",132
E01008303,Newcastle upon Tyne 018A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E01008303,Newcastle upon Tyne 018A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",15
E01008303,Newcastle upon Tyne 018A,9,Mixed or Multiple ethnic groups: White and Asian,4
E01008303,Newcastle upon Tyne 018A,10,Mixed or Multiple ethnic groups: White and Black African,12
E01008303,Newcastle upon Tyne 018A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
